game,developer,number of devs,rating,rating count,metacritic,first dev
The Witcher 3: Wild Hunt,['CD PROJEKT RED'],1,4.67,3491,93,CD PROJEKT RED
Life is Strange,['DONTNOD Entertainment'],1,4.1,2230,83,DONTNOD Entertainment
Red Dead Redemption 2,['Rockstar Games'],1,4.56,2559,96,Rockstar Games
DOOM (2016),"['Bethesda Softworks', 'id Software']",2,4.39,2188,85,Bethesda Softworks
Fallout 4,['Bethesda Game Studios'],1,3.75,1991,84,Bethesda Game Studios
God of War,['SCE Santa Monica Studio'],1,4.6,2590,94,SCE Santa Monica Studio
Rocket League,['Psyonix'],1,4.02,1643,86,Psyonix
METAL GEAR SOLID V: THE PHANTOM PAIN,['Konami Digital Entertainment'],1,4.17,1629,91,Konami Digital Entertainment
Destiny 2,"['Bungie, Inc.', 'Vicarious Visions']",2,3.63,1510,82,"Bungie, Inc."
Horizon Zero Dawn,['Guerrilla Games'],1,4.36,2182,89,Guerrilla Games
Rise of the Tomb Raider,"['Crystal Dynamics', 'Nixxes', 'Feral Interactive']",3,4.01,1534,86,Crystal Dynamics
HITMAN,"['IO Interactive', 'Square Enix', 'Feral Interactive']",3,3.91,1217,83,IO Interactive
Batman: Arkham Knight,"['Rocksteady Studios', 'Warner Bros. Interactive']",2,4.21,1524,81,Rocksteady Studios
Uncharted 4: A Thief’s End,['Naughty Dog'],1,4.53,2279,93,Naughty Dog
Deus Ex: Mankind Divided,['Eidos Montreal'],1,3.95,1254,83,Eidos Montreal
Marvel's Spider-Man,['Insomniac Games'],1,4.46,2054,87,Insomniac Games
Dark Souls III,"['BANDAI NAMCO Entertainment America Inc.', 'FromSoftware']",2,4.39,1427,89,BANDAI NAMCO Entertainment America Inc.
For Honor,"['Blue Byte', 'Ubisoft', 'Ubisoft Montreal', 'Ubisoft Quebec', 'Ubisoft Toronto']",5,3.32,1063,76,Blue Byte
Bloodborne,"['FromSoftware', 'Sony Interactive Entertainment']",2,4.38,1607,92,FromSoftware
Prey (2017),['Arkane Studios'],1,4.29,1259,80,Arkane Studios
Just Cause 3,"['Avalanche Studios', 'Square Enix']",2,3.31,951,74,Avalanche Studios
Mad Max,"['Avalanche Studios', 'Warner Bros. Interactive', 'Feral Interactive']",3,3.71,1085,73,Avalanche Studios
Hellblade: Senua's Sacrifice,['Ninja Theory'],1,4.31,1204,83,Ninja Theory
Don't Starve Together,['Klei Entertainment'],1,3.8,721,83,Klei Entertainment
MORTAL KOMBAT X,"['High Voltage Software', 'NetherRealm Studios', 'Warner Bros. Interactive']",3,3.85,1253,76,High Voltage Software
Detroit: Become Human,['Quantic Dream'],1,4.26,1551,79,Quantic Dream
Hollow Knight,['Team Cherry'],1,4.39,1242,88,Team Cherry
Layers of Fear,['Bloober Team S.A.'],1,3.49,673,72,Bloober Team S.A.
Stardew Valley,"['CHUCKLEFISH LIMITED', 'ConcernedApe']",2,4.39,1156,89,CHUCKLEFISH LIMITED
The Elder Scrolls V: Skyrim Special Edition,['Bethesda Game Studios'],1,4.43,1091,74,Bethesda Game Studios
PlayerUnknown’s Battlegrounds,"['Bluehole, Inc.', 'PUBG Corporation']",2,3.38,1060,81,"Bluehole, Inc."
Dishonored 2,"['Arkane Studios', 'Bethesda Softworks']",2,4.26,1078,86,Arkane Studios
Cities: Skylines,['Colossal Order Ltd.'],1,4.16,845,85,Colossal Order Ltd.
Firewatch,['Campo Santo'],1,4.3,1439,81,Campo Santo
Paladins,['Hi-Rez Studios'],1,3.09,802,78,Hi-Rez Studios
INSIDE,['Playdead'],1,4.39,1437,87,Playdead
NieR:Automata,"['Platinum Games', '8-4']",2,4.35,1174,86,Platinum Games
Darksiders Warmastered Edition,"['Kaiko', 'Vigil Games']",2,3.67,560,79,Kaiko
Monster Hunter: World,"['Capcom', 'Capcom U.S.A., Inc.']",2,4.09,962,89,Capcom
Call of Duty: Black Ops III,"['Beenox', 'Raven Software', 'Treyarch', 'Mercenary Technology', 'Aspyr Media']",5,3.23,930,73,Beenox
DiRT Rally,"['Codemasters', 'Feral Interactive']",2,3.78,401,86,Codemasters
Undertale,"['tobyfox', 'Toby Fox', '8-4, Ltd.', '8-4']",4,4.34,932,92,tobyfox
SOMA,['Frictional Games'],1,4.14,805,84,Frictional Games
Titanfall 2,['Respawn Entertainment'],1,4.31,1083,87,Respawn Entertainment
Assassin's Creed Origins,"['Ubisoft', 'Ubisoft Montreal']",2,4.01,1127,81,Ubisoft
XCOM 2,"['2K', 'Firaxis', 'Feral Interactive']",3,4.11,797,88,2K
Grim Fandango Remastered,"['Double Fine Productions', 'LucasArts Entertainment']",2,4.01,608,84,Double Fine Productions
Death Stranding,"['Kojima Productions', 'Guerrilla Games']",2,4.37,725,82,Kojima Productions
Tom Clancy's Rainbow Six Siege,"['Ubisoft', 'Ubisoft Montreal']",2,4.03,847,75,Ubisoft
Far Cry 5,"['Ubisoft', 'Ubisoft Kiev', 'Ubisoft Montreal', 'Ubisoft Toronto', 'Red Storm', 'Ubisoft Shanghai']",6,3.7,1048,80,Ubisoft
Wolfenstein 2: The New Colossus,"['Bethesda Softworks', 'Machine Games']",2,4.09,1054,86,Bethesda Softworks
Mafia III,"['2K Czech', 'Hangar 13', 'Aspyr Media']",3,3.11,884,62,2K Czech
Assassin's Creed Odyssey,"['Ubisoft', 'Ubisoft Bucharest', 'Ubisoft Kiev', 'Ubisoft Montpellier', 'Ubisoft Montreal', 'Ubisoft Quebec', 'Ubisoft Shanghai', 'Ubisoft Singapore']",8,4.06,1021,85,Ubisoft
Battlefield 1,"['Electronic Arts', 'Electronic Arts DICE']",2,3.79,1134,88,Electronic Arts
Shadow of the Tomb Raider,['Eidos Montreal'],1,3.82,784,78,Eidos Montreal
Broforce,"['Devolver Digital', 'Free Lives']",2,3.97,818,83,Devolver Digital
Ori and the Blind Forest,['Moon Studios GmbH'],1,4.33,823,88,Moon Studios GmbH
Cuphead,"['StudioMDHR Entertainment Inc.', 'Studio MDHR']",2,4.36,1051,87,StudioMDHR Entertainment Inc.
Sekiro: Shadows Die Twice,['FromSoftware'],1,4.38,1008,90,FromSoftware
Hitman 2,['IO Interactive'],1,4.04,615,83,IO Interactive
Until Dawn,['Supermassive Games'],1,4.1,1094,79,Supermassive Games
Watch Dogs 2,['Ubisoft Montreal'],1,3.84,894,79,Ubisoft Montreal
No Man's Sky,"['Hello Games', 'Hello Games LTD']",2,3.62,809,70,Hello Games
Ori and the Blind Forest: Definitive Edition,['Moon Studios GmbH'],1,4.39,862,88,Moon Studios GmbH
The Witness,"['Number None', 'Thekla, Inc', 'NVIDIA Lightspeed Studios']",3,4.04,791,87,Number None
Apex Legends,['Respawn Entertainment'],1,3.68,1226,88,Respawn Entertainment
Tom Clancy’s The Division,"['Massive Entertainment', 'Ubisoft']",2,3.71,865,80,Massive Entertainment
What Remains of Edith Finch,['Giant Sparrow'],1,4.37,1141,89,Giant Sparrow
Call of Duty: WWII,['Sledgehammer Games'],1,3.49,572,77,Sledgehammer Games
Jotun: Valhalla Edition,['Thunder Lotus Games'],1,3.08,349,79,Thunder Lotus Games
Overcooked,"['Ghost Town Games Ltd.', 'Team17 Digital']",2,4.1,835,81,Ghost Town Games Ltd.
Quantum Break,['Remedy Entertainment'],1,3.91,750,66,Remedy Entertainment
Resident Evil 7: Biohazard,"['Capcom', 'Capcom U.S.A., Inc.']",2,4.31,911,85,Capcom
Ratchet & Clank (2016),['Insomniac Games'],1,4.04,889,85,Insomniac Games
Kingdom Come: Deliverance,"['Deep Silver', 'Warhorse Studios']",2,4.03,694,71,Deep Silver
Hacknet,['Team Fractal Alligator'],1,3.21,319,82,Team Fractal Alligator
Darkest Dungeon,['Red Hook Studios'],1,4.22,725,84,Red Hook Studios
Borderlands Game of the Year Enhanced,"['Gearbox Software', 'Blind Squirrel Games']",2,3.82,595,78,Gearbox Software
Middle-earth: Shadow of War,"['Monolith Productions', 'Warner Bros. Interactive']",2,3.86,674,82,Monolith Productions
Tales from the Borderlands,['Telltale Games'],1,4.16,735,86,Telltale Games
FINAL FANTASY XV,['Square Enix'],1,3.89,868,82,Square Enix
Divinity: Original Sin - Enhanced Edition,['Larian Studios'],1,4.29,628,94,Larian Studios
The Legend of Zelda: Breath of the Wild,['Nintendo'],1,4.56,1712,97,Nintendo
