,name,number of platforms,platforms,number of stores,stores,number of genres,genres,tags,release date,rating,max rating,rating count,metacritic score,added,month
0,The Witcher 3: Wild Hunt,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG']",3,"['Adventure', 'Action', 'RPG']","['Full controller support', 'Action RPG', 'Atmospheric', 'Choices Matter', 'Dark', 'Dark Fantasy', 'Fantasy', 'Great Soundtrack', 'Magic', 'Mature', 'Medieval', 'Multiple Endings', 'Nudity', 'Open World', 'RPG', 'Sandbox', 'Singleplayer', 'Story Rich', 'Third Person', 'controller support']",2015-05-18,4.67,5,3461,93,"{'yet': 558, 'owned': 6109, 'beaten': 2395, 'toplay': 455, 'dropped': 421, 'playing': 588}",5
1,Life is Strange,9,"['PC', 'PlayStation', 'Xbox', 'iOS', 'Android', 'Apple Macintosh', 'Linux']",7,"['Steam', 'PlayStation Store', 'Xbox Store', 'App Store', 'GOG', 'Xbox 360 Store', 'Google Play']",1,['Adventure'],"['Full controller support', 'Atmospheric', 'Choices Matter', 'Dark', 'Episodic', 'Female Protagonist', 'Great Soundtrack', 'Memes', 'Multiple Endings', 'Mystery', 'Point & Click', 'Short', 'Singleplayer', 'Soundtrack', 'Story Rich', 'Third Person', 'Time Manipulation', 'Time Travel', 'Walking Simulator', 'Story', 'student', 'strange', 'photography', 'steam-trading-cards']",2015-01-29,4.1,5,2211,83,"{'yet': 462, 'owned': 6136, 'beaten': 1903, 'toplay': 184, 'dropped': 339, 'playing': 123}",1
2,Red Dead Redemption 2,3,"['PC', 'PlayStation', 'Xbox']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'Epic Games']",3,"['Adventure', 'Action', 'RPG']","['In-App Purchases', 'America', 'Partial Controller Support', 'Atmospheric', 'Blood', 'Cinematic', 'Co-op', 'Crime', 'Exploration', 'First-Person', 'FPS', 'Gore', 'Great Soundtrack', 'Hunting', 'Mature', 'Multiplayer', 'Online Co-Op', 'Open World', 'PvP', 'Realistic', 'Sandbox', 'Singleplayer', 'Story Rich', 'Third Person', 'Third-Person Shooter', 'Violent', 'Western', '3rd-Person Perspective', 'Beautiful', 'Masterpiece', '3rd-person', 'Online PvP']",2018-10-26,4.56,5,2533,96,"{'yet': 398, 'owned': 4197, 'beaten': 1253, 'toplay': 1140, 'dropped': 217, 'playing': 584}",10
3,DOOM (2016),4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'Nintendo Store']",2,"['Shooter', 'Action']","['Partial Controller Support', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Blood', 'Classic', 'Co-op', 'Demons', 'Difficult', 'Fast-Paced', 'First-Person', 'FPS', 'Gore', 'Great Soundtrack', 'Horror', 'Memes', 'Multiplayer', 'Remake', 'Sci-fi', 'Singleplayer', 'Zombies', 'cooperative', 'steam-trading-cards']",2016-05-13,4.39,5,2171,85,"{'yet': 314, 'owned': 4828, 'beaten': 1518, 'toplay': 319, 'dropped': 368, 'playing': 221}",5
4,Fallout 4,3,"['PC', 'PlayStation', 'Xbox']",3,"['Steam', 'PlayStation Store', 'Xbox Store']",2,"['Action', 'RPG']","['Full controller support', 'Action RPG', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Exploration', 'First-Person', 'FPS', 'Great Soundtrack', 'Open World', 'Post-apocalyptic', 'RPG', 'Sandbox', 'Sci-fi', 'Singleplayer', 'Story Rich', 'Survival', 'Third Person', 'Third-Person Shooter']",2015-11-09,3.75,4,1984,84,"{'yet': 292, 'owned': 4821, 'beaten': 1229, 'toplay': 225, 'dropped': 727, 'playing': 224}",11
5,God of War,1,['PlayStation'],1,['PlayStation Store'],2,"['Adventure', 'Action']","['Action-Adventure', 'Atmospheric', 'Blood', 'RPG', 'Singleplayer', '3rd-Person Perspective', 'exclusive', 'true exclusive']",2018-04-20,4.61,5,2566,94,"{'yet': 311, 'owned': 3843, 'beaten': 1846, 'toplay': 749, 'dropped': 108, 'playing': 279}",4
6,Rocket League,6,"['PC', 'PlayStation', 'Xbox', 'Apple Macintosh', 'Linux', 'Nintendo']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'Nintendo Store']",4,"['Racing', 'Indie', 'Action', 'Sports']","['Cross-Platform Multiplayer', 'Full controller support', '4 Player Local', 'Steam Achievements', 'Steam Cloud', 'Steam Workshop', 'Competitive', 'Co-op', 'Fast-Paced', 'Football', 'Funny', 'Great Soundtrack', 'Local Co-Op', 'Local Multiplayer', 'Multiplayer', 'Online Co-Op', 'Singleplayer', 'Soccer', 'Split Screen', 'Team-Based', 'cooperative', 'steam-trading-cards', 'stats']",2015-07-07,4.02,4,1629,86,"{'yet': 98, 'owned': 5328, 'beaten': 451, 'toplay': 76, 'dropped': 701, 'playing': 345}",7
7,METAL GEAR SOLID V: THE PHANTOM PAIN,5,"['PC', 'PlayStation', 'Xbox']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'Xbox 360 Store']",2,"['Shooter', 'Action']","['Captions available', 'Full controller support', 'Steam Achievements', 'Steam Cloud', 'Steam Leaderboards', 'Atmospheric', 'Cinematic', 'Dark', 'Great Soundtrack', 'Heist', 'Horses', 'Multiplayer', 'Open World', 'Replay Value', 'Sandbox', 'Sci-fi', 'Singleplayer', 'Stealth', 'Story Rich', 'Tactical', 'Third Person', 'Third-Person Shooter', 'steam-trading-cards']",2015-09-01,4.17,5,1620,91,"{'yet': 439, 'owned': 4635, 'beaten': 970, 'toplay': 234, 'dropped': 500, 'playing': 195}",9
8,Destiny 2,6,"['PC', 'PlayStation', 'Xbox', 'Web']",3,"['Steam', 'PlayStation Store', 'Xbox Store']",3,"['Shooter', 'Massively Multiplayer', 'Action']","['Full controller support', 'Action-Adventure', 'Aliens', 'Atmospheric', 'Co-op', 'Exploration', 'First-Person', 'FPS', 'Free to Play', 'Futuristic', 'Great Soundtrack', 'Loot', 'Lore-Rich', 'MMORPG', 'Multiplayer', 'Online Co-Op', 'Open World', 'PvE', 'PvP', 'Sci-fi', 'Singleplayer', 'Space', 'Online multiplayer', 'cooperative', '3rd-Person Perspective', 'Masterpiece']",2017-09-06,3.64,4,1500,82,"{'yet': 201, 'owned': 5214, 'beaten': 479, 'toplay': 93, 'dropped': 629, 'playing': 314}",9
9,Horizon Zero Dawn,2,"['PC', 'PlayStation']",2,"['Steam', 'PlayStation Store']",3,"['Adventure', 'Action', 'RPG']","['Action RPG', 'Atmospheric', 'Cinematic', 'Drama', 'Experience', 'Exploration', 'Female Protagonist', 'Futuristic', 'Great Soundtrack', 'Lore-Rich', 'Open World', 'Post-apocalyptic', 'Robots', 'RPG', 'Sci-fi', 'Singleplayer', 'Stealth', 'Story Rich', 'Third Person', 'role-playing', '3rd-Person Perspective', '3rd-person', 'atmosphere', 'exclusive', 'true exclusive']",2017-02-28,4.36,5,2162,89,"{'yet': 328, 'owned': 3616, 'beaten': 1493, 'toplay': 564, 'dropped': 311, 'playing': 335}",2
