name,id,number of platforms,platforms,number of stores,stores,number of genres,genres,tags,release date,rating,max rating,rating count,metacritic score,yet,owned,beaten,toplay,dropped,playing,users,month,year
The Witcher 3: Wild Hunt,3328,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG']",3,"['Adventure', 'Action', 'RPG']","['Full controller support', 'Action RPG', 'Atmospheric', 'Choices Matter', 'Dark', 'Dark Fantasy', 'Fantasy', 'Great Soundtrack', 'Magic', 'Mature', 'Medieval', 'Multiple Endings', 'Nudity', 'Open World', 'RPG', 'Sandbox', 'Singleplayer', 'Story Rich', 'Third Person', 'controller support']",2015-05-18,4.67,5,3492,93,560,6160,2415,456,428,594,9169,5,2015
Life is Strange,3439,7,"['PC', 'PlayStation', 'Xbox', 'iOS', 'Android', 'Apple Macintosh', 'Linux']",7,"['Steam', 'PlayStation Store', 'Xbox Store', 'App Store', 'GOG', 'Xbox 360 Store', 'Google Play']",1,['Adventure'],"['Full controller support', 'Atmospheric', 'Choices Matter', 'Dark', 'Episodic', 'Female Protagonist', 'Great Soundtrack', 'Memes', 'Multiple Endings', 'Mystery', 'Point & Click', 'Short', 'Singleplayer', 'Soundtrack', 'Story Rich', 'Third Person', 'Time Manipulation', 'Time Travel', 'Walking Simulator', 'Story', 'student', 'strange', 'photography', 'steam-trading-cards']",2015-01-29,4.1,5,2232,83,468,6167,1925,188,344,124,8216,1,2015
Red Dead Redemption 2,28,3,"['PC', 'PlayStation', 'Xbox']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'Epic Games']",2,"['Adventure', 'Action']","['In-App Purchases', 'America', 'Partial Controller Support', 'Atmospheric', 'Blood', 'Cinematic', 'Co-op', 'Crime', 'Exploration', 'First-Person', 'FPS', 'Gore', 'Great Soundtrack', 'Hunting', 'Mature', 'Multiplayer', 'Online Co-Op', 'Open World', 'PvP', 'Realistic', 'Sandbox', 'Singleplayer', 'Story Rich', 'Third Person', 'Third-Person Shooter', 'Violent', 'Western', '3rd-Person Perspective', 'Beautiful', 'Masterpiece', '3rd-person', 'Online PvP']",2018-10-26,4.56,5,2561,96,405,4243,1269,1146,220,588,6100,10,2018
DOOM (2016),2454,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'Nintendo Store']",2,"['Shooter', 'Action']","['Partial Controller Support', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Blood', 'Classic', 'Co-op', 'Demons', 'Difficult', 'Fast-Paced', 'First-Person', 'FPS', 'Gore', 'Great Soundtrack', 'Horror', 'Memes', 'Multiplayer', 'Remake', 'Sci-fi', 'Singleplayer', 'Zombies', 'cooperative', 'steam-trading-cards']",2016-05-13,4.4,5,2190,85,317,4872,1532,319,373,225,6629,5,2016
Fallout 4,3070,3,"['PC', 'PlayStation', 'Xbox']",3,"['Steam', 'PlayStation Store', 'Xbox Store']",2,"['Action', 'RPG']","['Full controller support', 'Action RPG', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Exploration', 'First-Person', 'FPS', 'Great Soundtrack', 'Open World', 'Post-apocalyptic', 'RPG', 'Sandbox', 'Sci-fi', 'Singleplayer', 'Story Rich', 'Survival', 'Third Person', 'Third-Person Shooter']",2015-11-09,3.75,4,1991,84,296,4850,1240,226,732,223,6313,11,2015
God of War,58175,1,['PlayStation'],1,['PlayStation Store'],2,"['Adventure', 'Action']","['Action-Adventure', 'Atmospheric', 'Blood', 'RPG', 'Singleplayer', '3rd-Person Perspective', 'exclusive', 'true exclusive']",2018-04-20,4.61,5,2593,94,317,3869,1862,753,110,279,6010,4,2018
Rocket League,3272,6,"['PC', 'PlayStation', 'Xbox', 'Apple Macintosh', 'Linux', 'Nintendo']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'Nintendo Store']",4,"['Racing', 'Indie', 'Action', 'Sports']","['Cross-Platform Multiplayer', 'Full controller support', '4 Player Local', 'Steam Achievements', 'Steam Cloud', 'Steam Workshop', 'Competitive', 'Co-op', 'Fast-Paced', 'Football', 'Funny', 'Great Soundtrack', 'Local Co-Op', 'Local Multiplayer', 'Multiplayer', 'Online Co-Op', 'Singleplayer', 'Soccer', 'Split Screen', 'Team-Based', 'cooperative', 'steam-trading-cards', 'stats']",2015-07-07,4.02,4,1645,86,96,5358,456,79,708,353,6167,7,2015
METAL GEAR SOLID V: THE PHANTOM PAIN,3192,3,"['PC', 'PlayStation', 'Xbox']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'Xbox 360 Store']",2,"['Shooter', 'Action']","['Captions available', 'Full controller support', 'Steam Achievements', 'Steam Cloud', 'Steam Leaderboards', 'Atmospheric', 'Cinematic', 'Dark', 'Great Soundtrack', 'Heist', 'Horses', 'Multiplayer', 'Open World', 'Replay Value', 'Sandbox', 'Sci-fi', 'Singleplayer', 'Stealth', 'Story Rich', 'Tactical', 'Third Person', 'Third-Person Shooter', 'steam-trading-cards']",2015-09-01,4.17,5,1631,91,440,4685,976,235,507,199,5860,9,2015
Destiny 2,32,4,"['PC', 'PlayStation', 'Xbox', 'Web']",3,"['Steam', 'PlayStation Store', 'Xbox Store']",3,"['Shooter', 'Massively Multiplayer', 'Action']","['Full controller support', 'Action-Adventure', 'Aliens', 'Atmospheric', 'Co-op', 'Exploration', 'First-Person', 'FPS', 'Free to Play', 'Futuristic', 'Great Soundtrack', 'Loot', 'Lore-Rich', 'MMORPG', 'Multiplayer', 'Online Co-Op', 'Open World', 'PvE', 'PvP', 'Sci-fi', 'Singleplayer', 'Space', 'Online multiplayer', 'cooperative', '3rd-Person Perspective', 'Masterpiece']",2017-09-06,3.63,4,1510,82,205,5249,483,94,644,316,6048,9,2017
Horizon Zero Dawn,278,2,"['PC', 'PlayStation']",3,"['Steam', 'PlayStation Store', 'Epic Games']",3,"['Adventure', 'Action', 'RPG']","['Action RPG', 'Atmospheric', 'Cinematic', 'Drama', 'Experience', 'Exploration', 'Female Protagonist', 'Futuristic', 'Great Soundtrack', 'Lore-Rich', 'Open World', 'Post-apocalyptic', 'Robots', 'RPG', 'Sci-fi', 'Singleplayer', 'Stealth', 'Story Rich', 'Third Person', 'role-playing', '3rd-Person Perspective', '3rd-person', 'atmosphere', 'exclusive', 'true exclusive', 'open-world']",2017-02-28,4.36,5,2183,89,338,3640,1509,567,309,337,5486,2,2017
