,name,playtime,number of platforms,platforms,number of stores,stores,genres,release date,rating,max rating,rating count,metacritic score,added,month
0,Death Stranding,0,2,"['PC', 'PlayStation']",3,"['Steam', 'PlayStation Store', 'Epic Games']","['Adventure', 'Action']",2019-11-08,4.37,5,718,82.0,"{'yet': 232, 'owned': 1889, 'beaten': 424, 'toplay': 1117, 'dropped': 55, 'playing': 189}",11
1,Sekiro: Shadows Die Twice,17,3,"['PC', 'PlayStation', 'Xbox']",3,"['Steam', 'PlayStation Store', 'Xbox Store']","['Action', 'RPG']",2019-03-22,4.38,5,995,90.0,"{'yet': 213, 'owned': 1692, 'beaten': 512, 'toplay': 809, 'dropped': 237, 'playing': 206}",3
2,Apex Legends,0,5,"['PC', 'PlayStation', 'Xbox', 'Apple Macintosh', 'Nintendo']",3,"['Steam', 'PlayStation Store', 'Xbox Store']","['Shooter', 'Massively Multiplayer', 'Action']",2019-02-04,3.68,4,1219,88.0,"{'yet': 58, 'owned': 2307, 'beaten': 163, 'toplay': 38, 'dropped': 683, 'playing': 296}",2
3,Borderlands Game of the Year Enhanced,2,3,"['PC', 'PlayStation', 'Xbox']",1,['Steam'],"['Shooter', 'Action', 'RPG']",2019-04-03,3.82,4,592,78.0,"{'yet': 189, 'owned': 2458, 'beaten': 341, 'toplay': 74, 'dropped': 186, 'playing': 46}",4
4,Devil May Cry 5,10,3,"['PC', 'PlayStation', 'Xbox']",2,"['Steam', 'Xbox Store']",['Action'],2019-03-08,4.24,5,806,88.0,"{'yet': 179, 'owned': 1571, 'beaten': 564, 'toplay': 575, 'dropped': 103, 'playing': 114}",3
5,Star Wars Jedi: Fallen Order,8,3,"['PC', 'PlayStation', 'Xbox']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'Epic Games']","['Adventure', 'Action']",2019-11-15,4.12,4,620,80.0,"{'yet': 129, 'owned': 1486, 'beaten': 500, 'toplay': 708, 'dropped': 74, 'playing': 140}",11
6,Resident Evil 2,11,3,"['PC', 'PlayStation', 'Xbox']",3,"['Steam', 'PlayStation Store', 'Xbox Store']","['Shooter', 'Adventure', 'Action']",2019-01-25,4.45,5,987,91.0,"{'yet': 185, 'owned': 1101, 'beaten': 720, 'toplay': 615, 'dropped': 93, 'playing': 108}",1
8,The Outer Worlds,0,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'Nintendo Store', 'Epic Games']",['RPG'],2019-10-25,4.0,4,585,80.0,"{'yet': 164, 'owned': 1190, 'beaten': 362, 'toplay': 680, 'dropped': 158, 'playing': 138}",10
9,Metro Exodus,17,3,"['PC', 'PlayStation', 'Xbox']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG', 'Epic Games']","['Shooter', 'Action']",2019-02-13,4.03,4,660,81.0,"{'yet': 183, 'owned': 1237, 'beaten': 430, 'toplay': 577, 'dropped': 114, 'playing': 81}",2
10,Control,0,3,"['PC', 'PlayStation', 'Xbox']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'Epic Games']","['Shooter', 'Adventure', 'Action']",2019-08-27,4.19,4,579,84.0,"{'yet': 168, 'owned': 1023, 'beaten': 416, 'toplay': 750, 'dropped': 105, 'playing': 129}",8
