,ID,name,number of games,rating,rating count,avg rating
0,1,PC,235327,777808.2799999991,201159,3.866634254495196
13,14,Web,89305,11192.769999999999,2906,3.851607019958706
3,4,iOS,66387,119092.51999999999,31085,3.8311893196075273
5,5,Apple Macintosh,55051,277250.8200000001,72327,3.833296279397737
6,6,Linux,36691,209473.51999999996,54156,3.8679651377502022
4,8,Android,30242,78919.92999999992,20658,3.820308355116658
7,7,Nintendo,15444,329738.15000000014,82464,3.998570891540553
1,2,PlayStation,15316,749689.1499999998,191127,3.9224659519586442
2,3,Xbox,6686,638645.7399999991,164388,3.88499002360269
9,10,Commodore / Amiga,2025,0.0,0,
10,11,SEGA,1981,0.0,0,
8,9,Atari,1636,0.0,0,
12,13,Neo Geo,96,0.0,0,
11,12,3DO,88,0.0,0,
