,ID,name,number of games,rating,rating count,avg rating
8,9,itch.io,261147,21468.30000000001,5315,4.039190968955787
3,4,App Store,64861,141941.67000000013,37157,3.820051941760641
0,1,Steam,41736,741249.7599999991,191521,3.870331504117037
7,8,Google Play,16069,77481.45999999993,20340,3.809314650934117
5,6,Nintendo Store,7733,285520.3599999999,71802,3.9764959193337224
1,3,PlayStation Store,6498,699602.49,178442,3.9206156061913675
2,2,Xbox Store,3034,620574.799999999,159896,3.881115224896176
4,5,GOG,2700,304717.71000000084,77388,3.9375317878740996
6,7,Xbox 360 Store,1765,44192.14999999999,11746,3.762314830580622
9,11,Epic Games,269,165320.09999999998,41489,3.984673045867579
