,ID,name,number of games,rating,rating count,avg rating
8,9,itch.io,259224,3572.600000000001,883,4.045979614949038
3,4,App Store,64787,6984.199999999998,1794,3.8930880713489397
0,1,Steam,41717,86826.10000000012,22515,3.8563668665334276
7,8,Google Play,16064,1256.1299999999999,359,3.498969359331476
5,6,Nintendo Store,7733,32534.40000000001,8353,3.894935951155275
1,3,PlayStation Store,6473,72673.55000000006,19021,3.820700804374116
2,2,Xbox Store,3019,72754.57000000002,19179,3.793449606340269
4,5,GOG,2693,25804.369999999995,6670,3.868721139430284
6,7,Xbox 360 Store,1760,0.0,0,
9,11,Epic Games,258,24664.14,6245,3.94942193755004
