game,developer,number of devs,rating,rating count,metacritic,first dev
The Witcher 3: Wild Hunt,['CD PROJEKT RED'],1,4.67,3479,93,CD PROJEKT RED
Life is Strange,['DONTNOD Entertainment'],1,4.1,2221,83,DONTNOD Entertainment
Red Dead Redemption 2,['Rockstar Games'],1,4.56,2548,96,Rockstar Games
DOOM (2016),"['Bethesda Softworks', 'id Software']",2,4.4,2181,85,Bethesda Softworks
Fallout 4,['Bethesda Game Studios'],1,3.74,1989,84,Bethesda Game Studios
God of War,['SCE Santa Monica Studio'],1,4.61,2582,94,SCE Santa Monica Studio
Rocket League,['Psyonix'],1,4.02,1636,86,Psyonix
METAL GEAR SOLID V: THE PHANTOM PAIN,['Konami Digital Entertainment'],1,4.17,1626,91,Konami Digital Entertainment
Destiny 2,"['Bungie, Inc.', 'Vicarious Visions']",2,3.64,1506,82,"Bungie, Inc."
Horizon Zero Dawn,['Guerrilla Games'],1,4.36,2178,89,Guerrilla Games
Rise of the Tomb Raider,"['Crystal Dynamics', 'Nixxes', 'Feral Interactive']",3,4.01,1530,86,Crystal Dynamics
HITMAN,"['IO Interactive', 'Square Enix', 'Feral Interactive']",3,3.91,1211,83,IO Interactive
Batman: Arkham Knight,"['Rocksteady Studios', 'Warner Bros. Interactive']",2,4.21,1522,81,Rocksteady Studios
Uncharted 4: A Thief’s End,['Naughty Dog'],1,4.53,2273,93,Naughty Dog
Deus Ex: Mankind Divided,['Eidos Montreal'],1,3.95,1249,83,Eidos Montreal
Marvel's Spider-Man,['Insomniac Games'],1,4.46,2048,87,Insomniac Games
Dark Souls III,"['BANDAI NAMCO Entertainment America Inc.', 'FromSoftware']",2,4.39,1421,89,BANDAI NAMCO Entertainment America Inc.
For Honor,"['Blue Byte', 'Ubisoft', 'Ubisoft Montreal', 'Ubisoft Quebec', 'Ubisoft Toronto']",5,3.32,1061,76,Blue Byte
Bloodborne,"['FromSoftware', 'Sony Interactive Entertainment']",2,4.38,1604,92,FromSoftware
Prey (2017),['Arkane Studios'],1,4.29,1256,80,Arkane Studios
Just Cause 3,"['Avalanche Studios', 'Square Enix']",2,3.31,945,74,Avalanche Studios
Mad Max,"['Avalanche Studios', 'Warner Bros. Interactive', 'Feral Interactive']",3,3.72,1083,73,Avalanche Studios
Hellblade: Senua's Sacrifice,['Ninja Theory'],1,4.31,1201,83,Ninja Theory
Don't Starve Together,['Klei Entertainment'],1,3.8,718,83,Klei Entertainment
MORTAL KOMBAT X,"['High Voltage Software', 'NetherRealm Studios', 'Warner Bros. Interactive']",3,3.86,1252,76,High Voltage Software
Detroit: Become Human,['Quantic Dream'],1,4.26,1540,79,Quantic Dream
Hollow Knight,['Team Cherry'],1,4.39,1239,88,Team Cherry
Layers of Fear,['Bloober Team S.A.'],1,3.49,672,72,Bloober Team S.A.
Stardew Valley,"['CHUCKLEFISH LIMITED', 'ConcernedApe']",2,4.39,1152,89,CHUCKLEFISH LIMITED
The Elder Scrolls V: Skyrim Special Edition,['Bethesda Game Studios'],1,4.44,1086,74,Bethesda Game Studios
PlayerUnknown’s Battlegrounds,"['Bluehole, Inc.', 'PUBG Corporation']",2,3.37,1055,81,"Bluehole, Inc."
Dishonored 2,"['Arkane Studios', 'Bethesda Softworks']",2,4.26,1073,86,Arkane Studios
Cities: Skylines,['Colossal Order Ltd.'],1,4.16,841,85,Colossal Order Ltd.
Firewatch,['Campo Santo'],1,4.3,1434,81,Campo Santo
Paladins,['Hi-Rez Studios'],1,3.09,801,78,Hi-Rez Studios
INSIDE,['Playdead'],1,4.39,1432,87,Playdead
NieR:Automata,"['Platinum Games', '8-4']",2,4.35,1171,86,Platinum Games
Darksiders Warmastered Edition,"['Kaiko', 'Vigil Games']",2,3.67,560,79,Kaiko
Monster Hunter: World,"['Capcom', 'Capcom U.S.A., Inc.']",2,4.09,962,89,Capcom
Call of Duty: Black Ops III,"['Beenox', 'Raven Software', 'Treyarch', 'Mercenary Technology', 'Aspyr Media']",5,3.23,929,73,Beenox
DiRT Rally,"['Codemasters', 'Feral Interactive']",2,3.77,400,86,Codemasters
Undertale,"['tobyfox', 'Toby Fox', '8-4, Ltd.', '8-4']",4,4.34,928,92,tobyfox
SOMA,['Frictional Games'],1,4.14,798,84,Frictional Games
Titanfall 2,['Respawn Entertainment'],1,4.32,1081,87,Respawn Entertainment
Assassin's Creed Origins,"['Ubisoft', 'Ubisoft Montreal']",2,4.01,1124,81,Ubisoft
XCOM 2,"['2K', 'Firaxis', 'Feral Interactive']",3,4.11,798,88,2K
Grim Fandango Remastered,"['Double Fine Productions', 'LucasArts Entertainment']",2,4.01,605,84,Double Fine Productions
Death Stranding,"['Kojima Productions', 'Guerrilla Games']",2,4.37,724,82,Kojima Productions
Tom Clancy's Rainbow Six Siege,"['Ubisoft', 'Ubisoft Montreal']",2,4.03,844,75,Ubisoft
Far Cry 5,"['Ubisoft', 'Ubisoft Kiev', 'Ubisoft Montreal', 'Ubisoft Toronto', 'Red Storm', 'Ubisoft Shanghai']",6,3.7,1044,80,Ubisoft
Wolfenstein 2: The New Colossus,"['Bethesda Softworks', 'Machine Games']",2,4.09,1051,86,Bethesda Softworks
Mafia III,"['2K Czech', 'Hangar 13', 'Aspyr Media']",3,3.11,882,62,2K Czech
Assassin's Creed Odyssey,"['Ubisoft', 'Ubisoft Bucharest', 'Ubisoft Kiev', 'Ubisoft Montpellier', 'Ubisoft Montreal', 'Ubisoft Quebec', 'Ubisoft Shanghai', 'Ubisoft Singapore']",8,4.07,1016,85,Ubisoft
Battlefield 1,"['Electronic Arts', 'Electronic Arts DICE']",2,3.79,1132,88,Electronic Arts
Shadow of the Tomb Raider,['Eidos Montreal'],1,3.82,780,78,Eidos Montreal
Broforce,"['Devolver Digital', 'Free Lives']",2,3.97,817,83,Devolver Digital
Ori and the Blind Forest,['Moon Studios GmbH'],1,4.33,820,88,Moon Studios GmbH
Cuphead,"['StudioMDHR Entertainment Inc.', 'Studio MDHR']",2,4.36,1043,87,StudioMDHR Entertainment Inc.
Hitman 2,['IO Interactive'],1,4.04,610,83,IO Interactive
Sekiro: Shadows Die Twice,['FromSoftware'],1,4.38,1003,90,FromSoftware
Until Dawn,['Supermassive Games'],1,4.1,1091,79,Supermassive Games
Watch Dogs 2,['Ubisoft Montreal'],1,3.84,888,79,Ubisoft Montreal
No Man's Sky,"['Hello Games', 'Hello Games LTD']",2,3.62,808,70,Hello Games
The Witness,"['Number None', 'Thekla, Inc', 'NVIDIA Lightspeed Studios']",3,4.04,790,87,Number None
Ori and the Blind Forest: Definitive Edition,['Moon Studios GmbH'],1,4.39,861,88,Moon Studios GmbH
Apex Legends,['Respawn Entertainment'],1,3.68,1222,88,Respawn Entertainment
Tom Clancy’s The Division,"['Massive Entertainment', 'Ubisoft']",2,3.71,862,80,Massive Entertainment
What Remains of Edith Finch,['Giant Sparrow'],1,4.37,1139,89,Giant Sparrow
Call of Duty: WWII,['Sledgehammer Games'],1,3.49,569,77,Sledgehammer Games
Jotun: Valhalla Edition,['Thunder Lotus Games'],1,3.08,348,79,Thunder Lotus Games
Overcooked,"['Ghost Town Games Ltd.', 'Team17 Digital']",2,4.1,833,81,Ghost Town Games Ltd.
Quantum Break,['Remedy Entertainment'],1,3.9,748,66,Remedy Entertainment
Resident Evil 7: Biohazard,"['Capcom', 'Capcom U.S.A., Inc.']",2,4.31,904,85,Capcom
Ratchet & Clank (2016),['Insomniac Games'],1,4.04,885,85,Insomniac Games
Kingdom Come: Deliverance,"['Deep Silver', 'Warhorse Studios']",2,4.02,688,71,Deep Silver
Hacknet,['Team Fractal Alligator'],1,3.21,319,82,Team Fractal Alligator
Darkest Dungeon,['Red Hook Studios'],1,4.22,721,84,Red Hook Studios
Borderlands Game of the Year Enhanced,"['Gearbox Software', 'Blind Squirrel Games']",2,3.82,595,78,Gearbox Software
Middle-earth: Shadow of War,"['Monolith Productions', 'Warner Bros. Interactive']",2,3.86,670,82,Monolith Productions
Tales from the Borderlands,['Telltale Games'],1,4.16,731,86,Telltale Games
FINAL FANTASY XV,['Square Enix'],1,3.89,866,82,Square Enix
Divinity: Original Sin - Enhanced Edition,['Larian Studios'],1,4.29,626,94,Larian Studios
The Legend of Zelda: Breath of the Wild,['Nintendo'],1,4.56,1706,97,Nintendo
Fallout Shelter,"['Bethesda Game Studios', 'Bethesda Softworks']",2,3.47,787,63,Bethesda Game Studios
Orwell: Keeping an Eye On You,"['Osmotic Studios', 'Fellow Traveller']",2,3.25,378,77,Osmotic Studios
Assassin's Creed Syndicate,"['Ubisoft Montreal', 'Ubisoft Quebec', 'Ubisoft Singapore']",3,3.68,820,74,Ubisoft Montreal
SUPERHOT,"['SUPERHOT Team', 'SUPERHOT Sp. z o.o.']",2,4.22,787,82,SUPERHOT Team
Kingdom: Classic,"['Licorice', 'Noio']",2,3.44,327,74,Licorice
Devil May Cry 5,['Capcom'],1,4.24,813,88,Capcom
The Flame in the Flood,['The Molasses Flood'],1,2.89,269,73,The Molasses Flood
Rust,['Facepunch Studios'],1,3.39,441,69,Facepunch Studios
Divinity: Original Sin 2,['Larian Studios'],1,4.38,803,95,Larian Studios
Star Wars Jedi: Fallen Order,['Respawn Entertainment'],1,4.12,634,80,Respawn Entertainment
Dead Cells,"['Motion Twin', 'Playdigious', 'Plug In Digital', 'Motion Twin SARL']",4,4.28,822,88,Motion Twin
Wolfenstein: The Old Blood,"['Bethesda Softworks', 'Machine Games']",2,4.05,670,76,Bethesda Softworks
Sid Meier’s Civilization VI,"['Firaxis', 'Aspyr Media']",2,4.15,688,88,Firaxis
Dying Light: The Following - Enhanced Edition,['Techland'],1,4.2,503,87,Techland
SMITE,['Hi-Rez Studios'],1,3.15,443,83,Hi-Rez Studios
Satellite Reign,['5 Lives Studios'],1,2.59,209,75,5 Lives Studios
Killing Floor 2,['Tripwire Interactive'],1,3.51,494,75,Tripwire Interactive
Stories: The Path of Destinies,['Spearhead Games'],1,3.23,385,74,Spearhead Games
Uncharted: The Lost Legacy,['Naughty Dog'],1,4.29,802,85,Naughty Dog
Pillars of Eternity,['Obsidian Entertainment'],1,3.94,447,89,Obsidian Entertainment
Resident Evil 2,['Capcom'],1,4.46,991,91,Capcom
Yakuza 0,"['SEGA', 'Ryu ga Gotoku Studio']",2,4.33,565,85,SEGA
Call of Duty: Modern Warfare Remastered,"['Activision', 'Beenox', 'Raven Software']",3,3.99,710,86,Activision
